run,iteration,uc_set,uc_feedback,online_score,shot1,shot2,shot3,median3,mean3,cv3
短预算1,24,647.0,651.4041514041514,31.9912,31.9325,32.3544,32.0499,32.0499,32.11226666666667,0.6781043779761305
短预算1,8,656.0,660.5616605616606,32.66645,32.7922,32.6798,32.6531,32.6798,32.70836666666667,0.22568840285497915
短预算1,30,662.0,666.6666666666666,32.8069,32.5717,33.0421,33.6293,33.0421,33.08103333333333,1.6017451488961238
短预算1,7,668.0,672.7716727716728,33.983999999999995,34.2909,34.0335,33.9345,34.0335,34.0863,0.5397275451278571
短预算1,27,674.0,678.8766788766789,33.1873,33.2857,33.0889,34.4016,33.2857,33.59206666666667,2.1074864374235096
短预算1,18,680.0,684.3711843711844,33.48425,33.4006,34.4503,33.5679,33.5679,33.806266666666666,1.6682917740979804
短预算1,11,693.0,697.8021978021978,34.2365,34.2312,33.5191,34.2418,34.2312,33.99736666666667,1.2184031641619928
短预算1,10,706.0,710.6227106227107,34.44605,34.3964,34.4957,34.7457,34.4957,34.54593333333333,0.5210065178343518
短预算1,26,713.0,717.3382173382173,34.984,34.8872,35.7539,35.0808,35.0808,35.240633333333335,1.2908963249616672
短预算1,13,721.0,725.2747252747253,35.7612,35.969,34.7782,35.5534,35.5534,35.43353333333334,1.7056770481931813
短预算1,28,728.0,732.6007326007326,35.85625,35.0588,36.1148,35.5977,35.5977,35.59043333333333,1.4836501058564302
短预算1,1,735.0,739.3162393162393,35.1173,35.8355,35.1242,35.1104,35.1242,35.3567,1.1729329061020364
短预算1,16,750.0,754.5787545787546,35.37595,35.5778,36.1096,35.1741,35.5778,35.6205,1.3172456127128989
短预算2,4,504.0,507.93650793650795,37.24205,38.1615,36.3226,33.785,36.3226,36.0897,6.089066553483682
短预算2,19,516.0,520.1465201465202,33.571,31.3219,33.8314,33.3106,33.3106,32.8213,4.035095978346872
短预算2,12,527.0,531.1355311355311,30.23735,30.1214,30.3533,29.066,30.1214,29.8469,2.2988894049692385
短预算2,23,540.0,543.9560439560439,35.428,30.822,35.4393,35.4167,35.4167,33.89266666666666,7.846238168136634
短预算2,21,541.0,545.1770451770452,34.15275,29.5414,33.7742,34.5313,33.7742,32.615633333333335,8.244947032612272
短预算2,9,542.0,545.7875457875458,30.131,29.9716,30.2904,34.4268,30.2904,31.562933333333334,7.874104286646053
短预算2,22,543.0,547.008547008547,34.39385,30.4613,35.1761,33.6116,33.6116,33.083,7.258823870951835
短预算2,3,557.0,561.050061050061,34.55605,35.6537,34.3913,34.7208,34.7208,34.921933333333335,1.8750204887790618
短预算2,14,569.0,573.2600732600732,87.10634999999999,87.2731,46.0255,86.9396,86.9396,73.41273333333334,32.3085994634835
短预算2,20,577.0,581.1965811965812,43.48335,43.4037,34.3917,43.563,43.4037,40.4528,12.977274378243067
短预算2,5,586.0,589.7435897435897,45.48605,35.4299,44.672,46.3001,44.672,42.134,13.914445001989668
短预算2,25,594.0,597.6800976800977,36.400850000000005,36.0874,37.5171,36.7143,36.7143,36.772933333333334,1.948855099913667
